№,Вопрос,A,B,C,D,Правильный
1,Как называется еврейский Новый год?,Ханука,Йом Кипур,Кванза,Рош ха-Шана,D
2,Сколько синих полос на флаге США?,6,7,13,0,D
3,Кто из этих персонажей не дружит с Гарри Поттером?,Рон Уизли,Невилл Лонгботтом,Драко Малфой,Гермиона Грейнджер,C
4,Какое животное не фигурирует в китайском зодиаке?,Дракон,Кролик,Собака,Колибри,D
5,В какой стране проходили летние Олимпийские игры 2016 года?,Китай,Ирландия,Бразилия,Италия,C
6,Какая планета самая горячая?,Венера,Сатурн,Меркурий,Марс,A
7,Как назывался корабль капитана Джека Воробья в «Пиратах Карибского моря»?,Мародер,Черная жемчужина,Черный питон,Слизерин,B
8,Какая самая редкая группа крови?,I группа,II группа,III группа,IV группа,A
9,Кто из этих персонажей не входит в группу друзей из сериала «Друзья»?,Рэйчел,Джоуи,Гюнтер,Моника,C
10,Сколько костей в теле человека?,206,205,201,209,A
11,Fe — это символ какого химического элемента?,Цинк,Водород,Фтор,Железо,D
12,На каком языке говорит больше всего людей на Земле?,китайский,испанский,арабский,английский,A
13,Какая самая короткая трагедия Шекспира?,Макбет,Гамлет,Ромео и Джульетта,Отелло,A
14,Сколько сердец у осьминога?,1,2,3,4,C
15,Какая социальная сеть появилась в 2003 году?,Myspace,Twitter,Facebook,ВКонтакте,A
16,Какая планета в нашей Солнечной системе самая большая?,Юпитер,Сатурн,Нептун,Земля,A
17,Кто расписывал потолок Сикстинской капеллы?,Пабло Пикассо,Леонардо Да Винчи,Микеланджело,Винсент Ван Гог,C
18,Какой океан самый большой на Земле?,Индийский,Тихий,Атлантический,Южный,B
19,Кто нарисовал Мону Лизу?,Винсент Ван Гог,Леонардо да Винчи,Пабло Пикассо,Клод Моне,B
20,Какая страна потребляет больше всего шоколада?,Испания,Германия,Северная Америка,Швейцария,D
21,Как мы ещё называем хлорид натрия?,Соль,Сахар,Хлор,Отбеливатель,A
22,Какая река самая длинная в мире?,Амазонка,Конго,Нил,Гудзон,C
23,Сколько дней в феврале в високосный год?,28,29,30,31,B
24,Сколько градусов в круге?,360,180,150,90,A
25,Какой город известен как Город Любви?,Рим,Барселона,Нью-Йорк,Париж,D
26,Сколько зубов должно быть во рту взрослого человека?,35,32,30,42,B
27,Какой цвет является комплементарным зеленому?,синий,желтый,красный,фиолетовый,C
28,Сколько существует книг о Гарри Поттере?,7,8,6,10,A
29,"Великобритания состоит из следующих стран: Англия, Ирландия, Уэльс и…",Франция,Венгрия,Шотландия,Австрия,C
30,Сколько элементов в таблице Менделеева?,112,118,120,143,B
31,Какая змея самая смертоносная?,Питон,Кобра,Тигровая змея,Черная Мамба,D
32,Как называется семейная стая львов?,Отряд,Пакет,Стадо,Прайд,D
33,Сколько клавиш у стандартного современного пианино / фортепиано?,86,87,88,89,C
34,"Как звали женщину из греческой мифологии, у которой вместо волос были змеи?",Пандора,Елена,Кассиопея,Медуза,D
35,За какой приблизительный период Луна совершает полный оборот вокруг Земли?,7 дней,27 дней,30 дней,365 дней,B
36,Кто в греческой мифологии является царицей царства мёртвых?,Пандора,Медуза,Елена,Персефона,D
37,При какой температуре по Фаренгейту замерзает вода?,32 градуса,40 градусов,-10 градусов,0 градусов,A
38,Кто основал Microsoft?,Билл Хейдер,Стив Джобс,Билл Гейтс,Марк Цукерберг,C
39,"Какие две планеты в нашей Солнечной системе известны, как «ледяные гиганты»?",Нептун и Юпитер,Уран и Плутон,Плутон и Юпитер,Нептун и Уран,D
40,В какой стране находится Прага?,Венгрия,Австрия,Чешская Республика,Германия,C
41,Сколько ребер в теле человека?,16,24,19,29,B
42,Какое животное ассоциируется с Древним Египтом?,Лев,Кот,Колибри,Кролик,B
43,Сколько часовых поясов в мире?,7,24,23,9,B
44,Сколько колец на олимпийском флаге?,5,7,4,6,A
45,Сколько глаз у паука?,8,9,10,2,A
46,Как мы ещё называем бикарбонат натрия?,соль,сахар,пищевая сода,уксус,C
47,Что сжигают в романе Рэя Брэдбери «451 градус по Фаренгейту»?,одежду,дома,книги,деньги,C
48,"Как называется компания, выпустившая видеоигру Mario Kart?",Nintendo,Electronic Arts (EA),SEGA,Xbox,A
49,Какова длина олимпийского бассейна (в метрах)?,25,50,100,200,B
50,"К какой стране принадлежат города Перт, Аделаида и Брисбен?",Канада,Новая Зеландия,Австралия,США,C
51,Какой формы знак STOP?,Квадрат,Шестиугольник,Восьмиугольник,Треугольник,C
52,Что такое «кинофобия»?,Боязнь кинотеатров,Боязнь собак,Боязнь появляться на публике,Боязнь снимать себя на камеру,B
